nome_produto;preco_atual;preco_antigo;link_produto;cod_ean
DESODORANTE AEROSSOL RAHDA CLINIC DEO WOMAN 150ML;R$9,90;R$19,90;https://www.ultrafarma.com.br/desodorante-aerosol-rahda-clinic-150ml;7899674028167
DESODORANTE AEROSSOL RAHDA CARE DEO WOMAN 150ML;R$9,90;R$19,90;https://www.ultrafarma.com.br/desodorante-aerosol-rahda-care-150ml;7899674028174
DESODORANTE AEROSSOL RAHDA PROTECT MEN 150ML;R$9,90;R$19,90;https://www.ultrafarma.com.br/desodorante-aerosol-rahda-protect-men-150ml;7899674028280
DESODORANTE ANTITRANSPIRANTE AEROSOL NIVEA INVISIBLE BLACK & WHITE CLEAR 150ML;R$12,41;R$14,60;https://www.ultrafarma.com.br/desodorante-antitranspirante-aerosol-nivea-invisible-black-white-clear-150ml;4005900036667
DESODORANTE AEROSOL REXONA CLINICAL FEMININO CLASSIC 150ML;R$15,73;R$18,50;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-clinical-feminino-classic-150ml;7506306214989
DESODORANTE ANTITRASPIRANTE AEROSOL NIVEA DERMO CLAREADOR 150ML;R$14,20;R$15,78;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-feminino-clear-skin-com-92g;4005808631322
DESODORANTE AEROSSOL ABOVE TEEN GOOD VIBES 150ML;R$9,82;R$12,27;https://www.ultrafarma.com.br/desodorante-aerosol-above-teen-good-vibes-150ml;7899674021854
DESODORANTE AEROSSOL REXONA MASCULINO INVISIBLE 150ML;R$13,86;R$16,30;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-masculino-invisible-com-150ml;7791293022635
DESODORANTE AEROSOL REXONA CLINICAL MASCULINO CLEAN 150ML;R$15,73;R$18,50;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-clinical-masculino-clean-150ml;7506306214972
DESODORANTE AEROSSOL ABOVE POCKET COUNTRY MASCULINO 100ML;R$5,70;R$6,33;https://www.ultrafarma.com.br/desodorante-aerosol-above-pocket-country-masc-100ml;7899674021410
DESODORANTE AEROSSOL ABOVE CANDY FEMININO 150ML;R$9,65;R$12,06;https://www.ultrafarma.com.br/desodorante-aerosol-above-candy-feminino-150ml;7899674017062
DESODORANTE ANTITRANSPIRANTE AEROSOL NIVEA INVISIBLE FOR BLACK & WHITE 150ML;R$15,98;R$17,75;https://www.ultrafarma.com.br/desodorante-antitranspirante-aerosol-nivea-invisible-for-black-white-150ml;4005900036728
DESODORANTE AEROSSOL MONANGE HIDRATAÇÃO INTENSIVA 150ML;R$10,40;R$11,56;https://www.ultrafarma.com.br/desodorante-aerosol-monange-hidratacao-intensiva-com-150ml;7891350034646
DESODORANTE AEROSSOL ABOVE SPORT ENERGY MASCULINO 150ML;R$11,12;R$12,36;https://www.ultrafarma.com.br/desodorante-aerosol-above-sport-energy-masculino-150ml;7899674022011
DESODORANTE CREME HERBÍSSIMO FRESH 55G;R$5,15;R$5,72;https://www.ultrafarma.com.br/desodorante-creme-herbissimo-fresh-com-55g;7896049528604
DESODORANTE AEROSSOL BOZZANO MASCULINO FRESH 150ML;R$10,37;R$11,52;https://www.ultrafarma.com.br/desodorante-aerosol-bozzano-masculino-fresh-com-90g;7891350032741
DESODORANTE AEROSOL REXONA CLINICAL FEMININO EXTRA DRY 150ML;R$15,73;R$18,50;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-clinical-feminino-extra-dry-150ml;7891150064300
DESODORANTE AEROSSOL GIOVANNA BABY BLUE 150ML;R$13,02;R$16,27;https://www.ultrafarma.com.br/desodorante-aerosol-giovanna-baby-blue-com-150ml;7896044936916
DESODORANTE AEROSSOL ABOVE SOFT CREME 150ML;R$9,65;R$12,06;https://www.ultrafarma.com.br/desodorante-aerosol-above-soft-creme-150ml;7899674024312
DESODORANTE AEROSSOL ADIDAS FEMININO CLIMACOOL 150ML;R$12,26;R$13,62;https://www.ultrafarma.com.br/desodorante-aerosol-adidas-feminino-climacool-com-150ml;7891350032956
DESODORANTE CREME HERBÍSSIMO SENSITIVE 55G;R$5,15;R$5,72;https://www.ultrafarma.com.br/desodorante-creme-herbissimo-sensitive-com-55g;7896049528567
DESODORANTE AEROSOL REXONA FEMININO POWDER DRY 150ML;R$15,20;R$17,88;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-feminino-powder-dry-150ml;7791293032436
DESODORANTE AEROSOL GIOVANNA BABY 0% ALUMINIO BLUE 150ML;R$18,71;R$23,39;https://www.ultrafarma.com.br/desodorante-aerosol-giovanna-baby-0-aluminio-blue-150ml;7896044998730
DESODORANTE ANTITRASPIRANTE AEROSOL DOVE ORIGINAL FEMININO 87G;R$17,74;R$20,87;https://www.ultrafarma.com.br/desodorante-antitraspirante-aerosol-dove-original-feminino-89g;7506306241183
DESODORANTE ANTITRASPIRANTE AEROSOL NIVEA PEARL & BEAUTY 150ML;R$12,41;R$14,60;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-feminino-pearl-beauty-90g;4005808837311
DESODORANTE AEROSSOL ABOVE SPORT MASCULINO 150ML;R$11,12;R$12,36;https://www.ultrafarma.com.br/desodorante-aerosol-above-sport-masculino-150ml;7899674017116
DESODORANTE AEROSSOL REXONA FEMININO SEM PERFUME 150ML;R$15,20;R$17,88;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-feminino-sem-perfume-com-150ml;7791293032368
DESODORANTE AEROSSOL ABOVE ONE SPORT MASCULINO 150ML;R$9,65;R$12,06;https://www.ultrafarma.com.br/desodorante-aerossol-above-one-sport-masculino-150ml;7899674034267
DESODORANTE AEROSSOL ABOVE POCKET TEEN BE POSITIVE 100ML;R$5,70;R$6,33;https://www.ultrafarma.com.br/desodorante-aerosol-above-pocket-teen-be-positive-100ml;7899674024343
DESODORANTE AEROSSOL NIVEA MASCULINO FRESH ACTIVE 48H 150ML;R$16,83;R$18,70;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-masculino-fresh-active-24h-com-150ml;7791969016005
DESODORANTE AEROSSOL REXONA MASCULINO ACTIVE 150ML;R$15,20;R$17,88;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-masculino-active-com-150ml;7791293022598
DESODORANTE AEROSSOL ABOVE POCKET SPORT MASCULINO 100ML;R$5,66;R$6,29;https://www.ultrafarma.com.br/desodorante-aerosol-above-pocket-sport-masculino-100ml;7899674021441
DESODORANTE AEROSSOL SUAVE FEMININO FRUTAS VERMELHAS E LICHIA 150ML;R$9,44;R$11,11;https://www.ultrafarma.com.br/desodorante-aerosol-suave-feminino-frutas-vermelhas-e-lichia-com-150ml;7791293034980
DESODORANTE AEROSOL NIVEA MASCULINO INVISIBLE BLACK AND WHITE FRESH 150ML;R$16,83;R$18,70;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-masculino-invisible-black-and-white-fresh-150ml;4005900449559
DESODORANTE AEROSSOL DOVE MEN CARE CUIDADO TOTAL 150ML;R$16,10;R$18,94;https://www.ultrafarma.com.br/desodorante-aerosol-dove-men-care-cuidado-total-com-150ml;7791293012087
DESODORANTE AEROSSOL ABOVE URBAN MASCULINO 150ML;R$11,12;R$12,36;https://www.ultrafarma.com.br/desodorante-aerosol-above-urban-masculino-150ml;7899674017109
