nome_produto;preco_atual;preco_antigo;link_produto;cod_ean
FORTEVIRON 250MG 60 COMPRIMIDOS;R$57,73;R$94,64;https://www.ultrafarma.com.br/forteviron-250-mg-com-60-comprimidos;7896677700281
POLYVIT AZ 600MG NATURALGREEN 60 CÁPSULAS;R$24,75;R$61,88;https://www.ultrafarma.com.br/polyvit-az-500mg-60-capsulas;7898961469294
LAVITAN CABELOS E UNHAS 60 CÁPSULAS;R$22,48;R$62,51;https://www.ultrafarma.com.br/lavitan-mais-hair-cabelos-e-unhas-com-60-capsulas;7897947612891
CENTRUM ENERGIA CORPO E MENTE 60 CÁPSULAS MOLES;R$44,27;R$57,70;https://www.ultrafarma.com.br/centrum-energia-corpo-e-mente-60-capsulas-moles;7896015593131
HAAR INTERN POLIVITAMÍNICO 60 COMPRIMIDOS;R$15,75;R$75,16;https://www.ultrafarma.com.br/haar-intern-polivitaminico-60-comprimidos;7896202500058
METILCOBALAMINA  B12 WVEGAN 30 CÁPSULAS;R$25,80;R$30,35;https://www.ultrafarma.com.br/metilcobalamina-b12-wvegan-30-capsulas;7908016500770
GEROVITAL 60 CÁPSULAS + GEROVITAL 30 CÁPSULAS;R$79,99;R$246,89;https://www.ultrafarma.com.br/gerovital-60-capsulas-gerovital-30-capsulas;
VITASAY 50+ HOMEM 60 COMPRIMIDOS;R$75,92;R$101,74;https://www.ultrafarma.com.br/vitasay-50-homem-60-omprimidos;7896094917972
MULTI VITAMÍNICO NATURE HEALTHY 120 CÁPSULAS;R$87,84;R$112,50;https://www.ultrafarma.com.br/multivit-az-natute-healthy-120-capsulas;7898906005693
DAYVIT KIDS SUSPENSÃO 120ML;R$43,75;R$48,61;https://www.ultrafarma.com.br/dayvit-kids-suspensao-com-120-ml;7896658027208
GROW HAIR CABELO, PELE E UNHAS BY CLARA BRASIL 60 CÁPSULAS SIDNEY OLIVEIRA;R$24,90;R$60,50;https://www.ultrafarma.com.br/grow-hair-cabelo-pele-e-unhas-60-capsulas-sidney-oliveira;7898920633001
MULTIGOOD DR. GOOD 30 UNIDADES;R$20,02;R$24,51;https://www.ultrafarma.com.br/multigood-dr-good-30-unidades;7908228801405
BECAN GOTAS 20ML;R$59,21;R$65,79;https://www.ultrafarma.com.br/becan-gotas-20ml;7899824400782
VITERGAN MASTER 60 CÁPSULAS GRÁTIS 2 VITERGAN MASTER 10 CÁPSULAS;R$138,65;R$241,35;https://www.ultrafarma.com.br/vitergan-master-60-capsulas-gratis-2-vitergan-master-10-capsulas;
SUPRADYN ATIVA 30 COMPRIMIDOS;R$36,90;R$73,79;https://www.ultrafarma.com.br/supradyn-ativa-suplemento-de-vitaminas-e-minerais-com-30-comprimidos;7891106906715
CENTRUM FORÇA E MOVIMENTO 30 CÁPSULAS MOLES;R$44,27;R$57,70;https://www.ultrafarma.com.br/centrum-forca-e-movimento-30-capsulas-moles;7896015593148
MAGNÉSIO P.A. CLORETO FITOBRASIL SACHÊ 600MG 60 CÁPSULAS;R$11,56;R$24,08;https://www.ultrafarma.com.br/cloreto-de-magnesio-pa-fitobrasil-sache-600mg-60-capsulas;7898135993945
OFOLATO FER 30 COMPRIMIDOS;R$71,74;R$84,40;https://www.ultrafarma.com.br/ofolato-fer-30-comprimidos;7896094917781
VITAMINA D DOSS 2.000UI 90 CÁPSULAS;R$109,90;R$122,11;https://www.ultrafarma.com.br/vitamina-d-doss-2000ui-90-capsulas;7896112402404
SULFATO FERROSO - SULFERROL 50 COMPRIMIDOS REVESTIDOS;R$15,40;R$17,32;https://www.ultrafarma.com.br/sulfato-ferroso-sulferrol-50-comprimidos-revestidos;7893454100142
HAIRSKIN & NAILS FEMME 90 CÁPSULAS;R$50,26;R$62,83;https://www.ultrafarma.com.br/hairskin-nails-femme-90-capsulas;7898927980825
VITASAY 50+ MULHER 30 COMPRIMIDOS;R$61,54;R$66,04;https://www.ultrafarma.com.br/vitasay-50-mulher-30-comprimidos;7896094917989
HAIRSKIN & NAILS SUPREME 60 CÁPSULAS;R$39,06;R$59,18;https://www.ultrafarma.com.br/hair-skin-e-nails-supreme-60-capsulas;7898593052444
VITAMINA D3 FITOBRASIL 2000UI 60 CÁPSULAS - ECO REFIL;R$17,30;R$36,04;https://www.ultrafarma.com.br/vitamina-d3-fitobrasil-2000ui-60-capsulas-eco-refil;7898135993884
ADDERA 2.000UI + MUSCULAR 30 SACHÊS;R$213,35;R$251,00;https://www.ultrafarma.com.br/addera-2000ui-muscular-30-saches;7891142981172
PRÓPOLIS + VITAMINAS E MINERAIS IMMUNE DAY INOVE NUTRITION 60 CÁPSULAS;R$74,92;R$112,38;https://www.ultrafarma.com.br/propolis-vitaminas-e-minerais-immune-day-inove-nutrition-60-capsulas;7898681160921
AÇAÍ PÓ FITOBRASIL 100G - VALIDADE NOVEMBRO/2022;R$28,90;R$60,21;https://www.ultrafarma.com.br/acai-po-fitobrasil-100g;7898135993464
CENTURY VITGOLD MULTI VITAMIN MINERAL 130 COMPRIMIDOS GRÁTIS + 20 COMPRIMIDOS;R$140,30;R$175,38;https://www.ultrafarma.com.br/century-multi-vitamin-mineral-100-comprimidos-gratis-30-comprimidos;748945110377
POLIVITAMÍNICO POLIVEGAN AZ WVEGAN 60 CÁPSULAS;R$31,43;R$36,98;https://www.ultrafarma.com.br/polivitaminico-polivegan-az-wvegan-60-capsulas;7898955827819
COMPLEXO B WVEGAN 30 CÁPSULAS;R$25,80;R$30,35;https://www.ultrafarma.com.br/complexo-b-wvegan-30-capsulas;7908016501777
COMPLEXO B NATURE HEALTHY 60 CÁPSULAS;R$47,24;R$59,05;https://www.ultrafarma.com.br/complexo-b-nature-healthy-60-capsulas;7898947407289
SADOL SOLUÇÃO ORAL SABOR MORANGO  400ML;R$14,67;R$20,96;https://www.ultrafarma.com.br/sadol-morango-infantil-com-400-ml;7896023702754
SUPLEMENTO DE VITAMINAS PHARMATON VITAWIN CÁLCIO 150ML SABOR MORANGO;R$49,55;R$58,29;https://www.ultrafarma.com.br/pharmaton-vitawin-calcio-150ml;7891058999629
CATUAMA 500ML;R$48,54;R$60,10;https://www.ultrafarma.com.br/catuama-com-500-ml;7896023722721
SHAMPOO THINK VEGAN FORTIFICANTE JABORANDI & MENTA 400ML;R$23,92;R$26,58;https://www.ultrafarma.com.br/shampoo-think-vegan-fortificante-jaborandi-menta-400ml;609963441983
CONDICIONADOR THINK VEGAN FORTIFICANTE JABORANDI & MENTA 300ML;R$25,80;R$28,67;https://www.ultrafarma.com.br/condicionador-think-vegan-fortificante-jaborandi-menta-300ml;609963442072
FISIOTON 400MG 30 COMPRIMIDOS;R$85,16;R$100,19;https://www.ultrafarma.com.br/fisioton-400-mg-com-30-comprimidos;7896658015106
LUT VISION 60 CÁPSULAS;R$41,58;R$94,95;https://www.ultrafarma.com.br/lut-vision-30-capsulas;7896112103752
Tio Nacho Shampoo ULTRA-HIDRATANTE, Óleo de Coco e Geleia real, cabelos nutridos e reparados, 415ml;R$30,54;R$33,93;https://www.ultrafarma.com.br/shampoo-tio-nacho-ultra-hidratante-coco-415ml;7898636191604
SADOL SOLUÇÃO ORAL SABOR TRADICIONAL 400ML;R$14,59;R$20,84;https://www.ultrafarma.com.br/sadol-adulto-com-400-ml;7896023702501
CREME DE TRATAMENTO NOVEX REPOSITOR DE MASSA 1KG;R$22,60;R$25,11;https://www.ultrafarma.com.br/creme-de-tratamento-novex-repositor-de-massa-com-1000-gramas;7896013539148
SADOL SOLUÇÃO ORAL SABOR CHOCOLATE 400ML;R$14,44;R$18,13;https://www.ultrafarma.com.br/sadol-chocolate-infantil-com-400-ml;7896023702761
MAQ DERMA 30 CÁPSULAS;R$88,90;R$99,50;https://www.ultrafarma.com.br/maq-derma-com-30-capsulas;7891317192402
LAVITAN A-Z MULHER 90 COMPRIMIDOS;R$18,84;R$49,52;https://www.ultrafarma.com.br/lavitan-mais-mulher-com-90-comprimidos;7897947612594
